customer_id,customer_name,dob,city,country,branch_id,ingestion_date
101,Ekbal Natarajan,1977-10-20,Parbhani,India,6,2025-03-18
102,Gaurav Raval,1960-06-30,Bhimavaram,India,9,2025-06-28
103,Siya Thaker,1955-04-24,Nagercoil,India,6,2025-08-25
104,Pushti Mutti,1993-08-04,Firozabad,India,7,2025-09-08
105,Ojasvi Bhatia,1990-12-06,North Dumdum,India,9,2025-05-20
106,Adya Divan,1966-03-24,Kozhikode,India,3,2025-06-17
107,Aarnav Agrawal,2002-09-28,Suryapet,India,9,2025-07-12
108,Suhani Date,1955-10-15,Rewa,India,9,2025-10-23
109,Raghav Datta,1980-04-18,Alwar,India,7,2025-03-24
110,Rayaan Sani,1968-06-30,Raipur,India,7,2025-03-24
111,Meghana Bansal,1969-07-24,Nellore,India,3,2026-02-20
112,Ronith Tripathi,1967-10-11,Tinsukia,India,7,2025-08-06
113,Warhi Jain,1997-09-18,Motihari,India,2,2025-04-22
114,Upadhriti Khanna,1989-05-16,Gorakhpur,India,6,2026-02-15
115,Naveen Jain,1962-05-26,Sonipat,India,1,2025-03-24
116,Oliver Dhaliwal,1955-04-10,Bhind,India,9,2025-06-25
117,Theodore Raval,1977-01-20,Vellore,India,6,2025-08-25
118,Jalsa Sridhar,1968-08-18,Warangal,India,4,2025-07-28
119,Arunima Vaidya,1990-01-10,Sambalpur,India,1,2025-10-17
120,Unni Gara,1991-03-15,Jabalpur,India,9,2026-01-10
121,Baghyawati Seth,1976-02-01,Medininagar,India,7,2025-07-01
122,Ridhi Lala,1985-07-04,Sambalpur,India,2,2026-01-24
123,Vyanjana Mishra,1989-01-17,Mahbubnagar,India,6,2026-02-11
124,Tarak Venkatesh,1957-04-24,Tumkur,India,6,2025-07-24
125,Rachana Saini,2000-04-12,Bikaner,India,10,2025-07-19
126,Hemal Ranganathan,1990-09-12,Latur,India,2,2025-03-18
127,Osha Palla,1981-08-30,Mira-Bhayandar,India,6,2025-05-30
128,William Varghese,1995-05-18,Bellary,India,5,2025-03-16
129,Janaki Patla,2005-09-25,Serampore,India,9,2025-03-25
130,Ranbir Din,1956-04-07,Bhiwandi,India,6,2025-04-30
131,Christopher Sinha,1992-06-10,Thane,India,4,2025-09-18
132,Radhika Tara,1962-02-11,Yamunanagar,India,5,2025-08-16
133,Ayushman Koshy,1989-01-15,Shimla,India,5,2025-06-24
134,Riya Sane,2002-12-06,Bhubaneswar,India,10,2025-11-21
135,Dakshesh Trivedi,1979-05-16,Bhilai,India,2,2025-03-27
136,Leela Chopra,1968-04-04,Tinsukia,India,5,2025-11-21
