Customer_ID,Date_of_Birth,Account_Number,Account_Type,Account_Balance,Account_Open_Date,Account_Status,Transaction_ID,Date_and_Time_of_Transaction,Transaction_Type,Transaction_Amount,Transaction_Description,Credit_Score,Loan_or_Credit_Card_Details,Credit_Limit,Outstanding_Loan_Amount,Credit_History,Username,Password_usually_hashed,Two_Factor_Authentication_2FA_Status,Branch_Name,SWIFT_BIC_Code,Card_Number,ATM_Transaction_Details
521854,1998-08-d,1615766003,Savings,40968.51,27-02-2022,Closed,94002,25-06-2022 10:51,Withdrawal,2668.62,Boy hold item.,586,Use situation although chance Congress degree.,9104.27,4137.47,Agreement both hard great security remain.,edward38,N7MhiIvXYcq#,Disabled,Group,GBDFGB94,2.72E+15,Little west need man pick perform.
568991,1983-04-d,4184854593,Investment,97629.08,02-11-2019,Active,380723,06-06-2023 06:02,Withdrawal,2576.1,Be movement me remain child then.,592,In TV be simply whatever.,3878.3,2724.19,Song audience morning message bad wife sound brother.,jbrown,h6@*yqHVyrLA,Enabled,and Sons,DFPKGBI8TR7,5.21E+15,Dinner change matter receive easy conference upon money.
665087,1952-06-d,7506236672,Savings,99232.7,11-10-2021,Frozen,944179,11-09-2022 02:46,Withdrawal,737.65,Industry important eat know best.,804,Third couple strategy.,21815.07,7065.91,Assume institution sometimes window create yet.,nhenry,dUp5Rj4lH@y2,Enabled,Group,MNBJGBAMTKZ,2.27E+15,Vote from management easy.
50767,1958-11-d,6235093456,Checking,99202.76,19-07-2023,Frozen,700051,04-03-2023 18:45,Transfer,8018.55,Source social drive or should method bring.,723,Still adult place pay president.,47360.48,36793.07,Economy moment service memory.,jason15,7FoEgrRm%LVU,Enabled,PLC,QXJKGBRO29A,5.55E+15,Admit describe use available fund study.
857319,1980-03-d,2663357853,Credit,93391.77,26-01-2020,Closed,253815,10-10-2023 13:18,Withdrawal,9376.71,Although north of attack.,794,Opportunity author beyond another debate worker put account.,4062.82,276.8,Specific PM computer college weight church.,davispatrick,ieX(3b4vo6qf,Enabled,Ltd,UHFBGBTSNBO,2.28E+15,Will whether way start realize.
309724,1949-10-d,9800446586,Checking,67609.54,07-09-2022,Frozen,593279,23-12-2022 10:28,Deposit,4300.53,Get experience sister past show president.,534,Second scientist under be.,27019.87,25615.12,Onto research paper into race energy.,yolsen,2op8(Vwv$1R9,Disabled,LLC,UAVZGB9N,2.23E+15,Prove send morning serve.
542161,1957-11-d,7501304389,Checking,92393.49,25-10-2020,Closed,121422,06-12-2021 05:34,Withdrawal,2472.06,Tv including tough including boy space rise.,576,Community chair nearly ok sometimes our last.,25940.64,6507.51,While former happy.,kiara46,R!vGYybH228G,Disabled,LLC,QYOPGBG0,2.71E+15,Happen finally woman side program next seven them.
664602,1989-08-d,2357960306,Savings,20089.47,28-06-2021,Frozen,612141,27-09-2022 03:40,Deposit,7825.93,Tax want reality hit seven action.,799,Between sport stuff will wide.,18668.67,15015.57,Easy simple still over man wind same business.,alyssapeck,(WIYUo^v^R54,Enabled,Ltd,DMAQGB3MIYD,2.27E+15,Usually I front education long deep expert.
344990,2005-10-d,3039602027,Investment,98732.04,09-12-2018,Closed,814182,05-08-2023 02:45,Withdrawal,2444.63,Evidence social message material.,438,Human another goal together indeed summer.,29332.05,4438.84,Lead else Congress five.,mendozasean,Bz0G9#o%j)UE,Disabled,Group,TJUSGBCU1E5,2.28E+15,They religious say run student within recognize.
129224,1956-07-d,2737725720,Checking,27241.64,07-08-2021,Closed,880371,18-06-2023 02:54,Deposit,1339.07,Fact sound do.,807,Mouth work training.,44119.36,22079.51,Sing get face stand amount thought.,barkerjack,*)Do#zuV!8ff,Disabled,Ltd,HPEOGB5OO59,2.27E+15,Old upon shoulder risk couple arm thus.
